"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"b0001"	28.1206718714729	0.718847593857578	0.712791166652768	1.00849677645874	0.313216034468796	0.962936449473466
"b0002"	15.1610513305972	-0.53778808975687	0.83262403895112	-0.645895463736955	0.518347057594889	0.997650430522366
"b0003"	4.48926248489681	0.744721688120192	1.47982434919811	0.503250057024501	0.614788475102653	NA
"b0004"	5.59475991159852	0.720386140511407	1.2884241754767	0.559121874785431	0.576078546727601	NA
"b0005"	0.594716575713021	0.202753180981031	3.7119718440716	0.0546214221168862	0.956440071852537	NA
"b0006"	3.83407288799969	-1.82040025397896	1.72187838276964	-1.05721767123346	0.29041225670939	NA
"b0007"	0	NA	NA	NA	NA	NA
"b0008"	28.2881561039844	-0.769623794115478	0.619056660134747	-1.24322027962345	0.213786671642003	0.893999839984143
"b0009"	3.95109546719604	-0.810876419242215	1.63336732569484	-0.496444618724857	0.619580751613084	NA
"b0010"	1.60531601881597	0.10585688662774	2.41107770892571	0.0439043860908598	0.964980619079117	NA
"b0011"	0	NA	NA	NA	NA	NA
"b0012"	0	NA	NA	NA	NA	NA
"b0013"	0	NA	NA	NA	NA	NA
"b0014"	28.0310030724251	-1.03419218128546	0.641040869412379	-1.61330147675836	0.106679025878458	0.705359021163442
"b0015"	6.02718620622445	1.00262528800634	1.24053072692305	0.808222856755188	0.418962302085298	NA
"b0016"	0.258701596353879	-0.589898758603143	4.92526649261605	-0.119769916914652	0.904665413187731	NA
"b0018"	0	NA	NA	NA	NA	NA
"b0019"	4.05968543842012	3.25497504313357	1.65722736088919	1.96410892068974	0.0495174619248853	NA
"b0020"	0.159735776061568	-0.352899143356319	4.93257431840893	-0.0715446175923309	0.94296431580925	NA
"b0021"	0	NA	NA	NA	NA	NA
"b0022"	0	NA	NA	NA	NA	NA
"b0023"	98.25756239369	0.681155765159398	0.406751622104639	1.67462335278448	0.0940081544066713	0.676888861376463
"b0024"	0.239603664092352	-0.748230261662049	4.9209700357363	-0.152049343163719	0.879148017836065	NA
"b0025"	10.9621218606468	-1.11957054086236	0.984530996045903	-1.13716129340651	0.255470864594385	0.922943874979714
"b0026"	65.3531589108887	0.658888369353585	0.433950849366437	1.51834791962167	0.128926713384236	0.762594385305616
"b0027"	6.12029877769338	0.259376666506145	1.26197977657779	0.205531555513129	0.837156846576886	NA
"b0028"	2.75759447907644	-1.12140709537152	1.91323381726996	-0.58613175517234	0.557786978113106	NA
"b0029"	3.03690733935988	-0.713631980146689	1.83928426404933	-0.387994392218401	0.698020183539255	NA
"b0030"	0	NA	NA	NA	NA	NA
"b0031"	3.66005125514248	0.328708309367284	1.59003558196459	0.206730159435265	0.836220602334536	NA
"b0032"	3.89228833874343	-1.26497969292309	1.62517149642265	-0.778366895867659	0.436352748762111	NA
"b0033"	1.37429752375933	-1.64303090070179	2.89660997949384	-0.567225450555445	0.570561018863882	NA
"b0034"	0	NA	NA	NA	NA	NA
"b0035"	0	NA	NA	NA	NA	NA
"b0036"	0	NA	NA	NA	NA	NA
"b0037"	0	NA	NA	NA	NA	NA
"b0038"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0039"	0.754452351774589	-0.414776943058335	3.33316521497038	-0.124439359079901	0.900967411479297	NA
"b0040"	0	NA	NA	NA	NA	NA
"b0041"	0	NA	NA	NA	NA	NA
"b0042"	0.258701596353879	-0.589898758603143	4.92526649261605	-0.119769916914652	0.904665413187731	NA
"b0043"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0044"	0	NA	NA	NA	NA	NA
"b0045"	0.258701596353879	-0.589898758603143	4.92526649261605	-0.119769916914652	0.904665413187731	NA
"b0046"	0.239603664092352	-0.748230261662049	4.9209700357363	-0.152049343163719	0.879148017836065	NA
"b0047"	0.850863667041379	0.909758612588768	3.23261329582984	0.281431315574424	0.778379601959576	NA
"b0048"	9.37213068052251	-0.213401581582134	1.01170552625575	-0.210932505599647	0.832939938925507	0.997650430522366
"b0049"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0050"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0051"	0.89509019557463	-0.854705380025762	3.37398929104724	-0.253321900663316	0.800019473636307	NA
"b0052"	1.25531211724634	-3.02910844510144	2.92733769532491	-1.03476563361277	0.300778376001222	NA
"b0053"	10.5951001820692	-0.168058844304276	0.967660201963538	-0.173675474059239	0.862120513437733	0.997650430522366
"b0054"	12.8131895355022	0.0848662871105098	0.86988119685361	0.0975607788942606	0.922281069786866	0.997650430522366
"b0055"	0.575618643451494	0.117059366035426	4.01878803742593	0.0291280268939995	0.976762483048451	NA
"b0056"	0.159735776061568	-0.352899143356319	4.93257431840893	-0.0715446175923309	0.94296431580925	NA
"b0057"	0	NA	NA	NA	NA	NA
"b0058"	0.415882867389926	0.923174964416018	4.61079742325226	0.200220239510078	0.841308338813989	NA
"b0059"	3.962529884381	0.283593101693915	1.61533774207886	0.175562728651994	0.860637485702934	NA
"b0060"	1.70021400241472	0.293588417887089	2.54928920367567	0.115164814358364	0.908314487144854	NA
"b0061"	0	NA	NA	NA	NA	NA
"b0062"	0	NA	NA	NA	NA	NA
"b0063"	0	NA	NA	NA	NA	NA
"b0064"	0.517403192707759	-1.71110251924729	4.63972082812925	-0.368794283671851	0.712281065783633	NA
"b0065"	2.12527371654925	-1.31054078744117	2.25128788510221	-0.582129365201852	0.560479546765272	NA
"b0066"	0	NA	NA	NA	NA	NA
"b0067"	3.39457475600608	-0.92242482053992	1.79132965426456	-0.51493862022768	0.60659591230296	NA
"b0068"	9.79160922629544	-0.641903433318427	1.0273429471192	-0.624819039365975	0.532089833247247	0.997650430522366
"b0069"	0	NA	NA	NA	NA	NA
"b0070"	1.55568573710795	-3.37418543868539	2.7194962829308	-1.24073912505923	0.214702135858367	NA
"b0071"	19.1438955443227	0.229805402091712	0.724893383539091	0.317019588411402	0.751228738893048	0.997650430522366
"b0072"	41.7094280311935	1.37870159548299	0.507961523228264	2.71418509559717	0.00664390328033228	0.115345543061324
"b0073"	22.7371792213508	0.821247703487289	0.682074836142695	1.20404339812864	0.228572805203263	0.908515925032829
"b0074"	22.7941782750117	0.400024526849766	0.669543845511459	0.597458298708116	0.550201440765999	0.997650430522366
"b0075"	1.24358076547622	1.26924562556505	2.76996550861772	0.458217122782309	0.646796459374913	NA
"b0076"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0077"	4.73908416909125	-0.786703400238997	1.45586948691838	-0.540366706842796	0.58894416323339	NA
"b0078"	0.336014979359142	1.54891251869191	4.92474747653764	0.3145161302323	0.753129067437661	NA
"b0080"	3.59342805054985	-0.638910237478086	1.69508292657142	-0.37691975269339	0.706233241691803	NA
"b0081"	10.2881290746119	-1.14603278587854	1.0303724130641	-1.11225103792374	0.266030229165698	0.931673754756924
"b0082"	14.3978942903886	0.009089538072424	0.821385302783795	0.0110661075157033	0.991170703869477	0.998657646869607
"b0083"	1.47326334405165	-1.73946972286844	2.62232833200944	-0.663330255649381	0.50711906323444	NA
"b0084"	2.51950414665213	-0.327931921510202	1.97377903193664	-0.166144191525046	0.868043477602999	NA
"b0085"	0.319471552123136	-1.13831773794631	4.89065776488032	-0.232753505289317	0.815952818766784	NA
"b0086"	1.25531211724634	-3.02910844510144	2.92733769532491	-1.03476563361277	0.300778376001222	NA
"b0087"	4.02178650848223	-0.0189617287399895	1.51258972566911	-0.0125359364923635	0.989998031785948	NA
"b0088"	3.26252208124175	-2.07973158423773	1.90901440703769	-1.08942686685374	0.27596568895609	NA
"b0089"	2.92650710188261	-2.79966591440788	2.07127754669558	-1.35166140282568	0.176483657690948	NA
"b0090"	3.1925752787279	-0.775810549031249	1.74256489010698	-0.445211856060994	0.656166659516322	NA
"b0091"	6.16134608182712	-1.62132125282877	1.40303859222553	-1.15557851495517	0.24785360029604	NA
"b0092"	6.52985623794939	-0.860348462962524	1.24287495497255	-0.692224474811728	0.488796370919715	NA
"b0093"	4.83730575061123	-2.70115137729602	1.69249631673893	-1.59595701957009	0.110498389661106	NA
"b0094"	17.61004185115	-1.02959785995912	0.783686011202332	-1.31378874350393	0.188917306726245	0.879649508413552
"b0095"	104.4061673021	-0.673663503186204	0.359231997752978	-1.87528813524412	0.0607530947360786	0.520146359041769
"b0096"	314.930246394323	-0.106093069054023	0.25714960236518	-0.412573335047819	0.679919240890144	0.997650430522366
"b0097"	2.69682452330719	-1.0327661053166	1.94959694303242	-0.529733137409536	0.596296969165193	NA
"b0098"	9.61577732718504	1.12791680074868	1.01850747830693	1.10742122642401	0.268111852820324	0.931673754756924
"b0099"	0	NA	NA	NA	NA	NA
"b0101"	0.6580410365078	-2.12598339942084	3.77459134722409	-0.563235382019388	0.573274612691199	NA
"b0102"	3.89710041420931	0.502659543213141	1.57786723997021	0.318568971127527	0.750053385856325	NA
"b0103"	1.92734207596463	-1.17002460772089	2.28706951117877	-0.511582442948073	0.60894327567024	NA
"b0104"	5.47518282737664	0.579486267275346	1.36798530181237	0.423605623911028	0.671853453152987	NA
"b0106"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0107"	0	NA	NA	NA	NA	NA
"b0108"	0	NA	NA	NA	NA	NA
"b0109"	2.44700283911275	2.02922965907635	1.94905330930563	1.04113604763293	0.297812411523518	NA
"b0110"	0.89509019557463	-0.854705380025762	3.37398929104724	-0.253321900663316	0.800019473636307	NA
"b0111"	0.578173148477016	-1.93253081933528	3.97787881776368	-0.485819429869341	0.627095197112941	NA
"b0112"	5.88776695096872	-0.367665236683278	1.28847849337328	-0.285348369083538	0.77537725929131	NA
"b0113"	14.2049190987916	-0.670875987867905	0.878575694573785	-0.763594977656833	0.445108643146348	0.997650430522366
"b0114"	101.827610413814	-0.0304742298812769	0.354317424451929	-0.086008273311468	0.931459840448085	0.997650430522366
"b0115"	44.5605867688489	0.570955387321652	0.488219208012638	1.16946522781396	0.242216242983707	0.922943874979714
"b0116"	51.2367242976713	-0.412767875880353	0.494448434188761	-0.834804698203927	0.403827680154315	0.986089039807014
"b0117"	0	NA	NA	NA	NA	NA
"b0118"	62.5700897710126	-0.276890948836207	0.430369164048616	-0.643380083813181	0.519977503304408	0.997650430522366
"b0119"	4.16827760110564	0.856502918578316	1.50629411317339	0.568615990122855	0.569616770952861	NA
"b0120"	1.17288972419004	-1.27821787024674	2.80505257270633	-0.455684104705927	0.648617153856297	NA
"b0121"	6.03832588028569	0.135703534061299	1.30409321817407	0.10405968850241	0.917121981042117	NA
