"Eco_Ctrl1"	"Eco_Ctrl2"	"Eco_Exp1"	"Eco_Exp2"
"b0001"	26.6392974981492	42.7495758095826	8.94520345944781	34.1486107187121
"b0002"	9.22129528782087	16.0310909285935	14.6956913976643	20.6961277083104
"b0003"	6.14753019188058	5.34369697619783	5.43101638609332	1.03480638541552
"b0004"	6.14753019188058	8.01554546429675	5.11154483397018	3.10441915624655
"b0005"	1.02458836531343	0	0.319471552123136	1.03480638541552
"b0006"	1.02458836531343	2.67184848809892	5.43101638609332	6.20883831249311
"b0007"	0	0	0	0
"b0008"	22.5409440368955	18.7029394166924	32.5860983165599	39.3226426457897
"b0009"	5.12294182656715	0	4.47260172972391	6.20883831249311
"b0010"	3.07376509594029	0	1.27788620849254	2.06961277083104
"b0011"	0	0	0	0
"b0012"	0	0	0	0
"b0013"	0	0	0	0
"b0014"	18.4425905756417	18.7029394166924	46.0039035057316	28.9745787916345
"b0015"	8.19670692250744	8.01554546429675	4.79207328184704	3.10441915624655
"b0016"	0	0	0	1.03480638541552
"b0018"	0	0	0	0
"b0019"	9.22129528782087	5.34369697619783	0.638943104246272	1.03480638541552
"b0020"	0	0	0.638943104246272	0
"b0021"	0	0	0	0
"b0022"	0	0	0	0
"b0023"	131.147310760119	112.217636500154	99.9945958145416	49.6707064999449
"b0024"	0	0	0.958414656369409	0
"b0025"	8.19670692250744	5.34369697619783	17.8904069188956	12.4176766249862
"b0026"	95.286717974149	64.124363714374	57.5048793821645	44.4966745728673
"b0027"	10.2458836531343	2.67184848809892	6.38943104246272	5.17403192707759
"b0028"	1.02458836531343	2.67184848809892	3.19471552123136	4.13922554166207
"b0029"	4.09835346125372	0	2.87524396910823	5.17403192707759
"b0030"	0	0	0	0
"b0031"	3.07376509594029	5.34369697619783	4.15313017760077	2.06961277083104
"b0032"	2.04917673062686	2.67184848809892	6.70890259458586	4.13922554166207
"b0033"	1.02458836531343	0	4.47260172972391	0
"b0034"	0	0	0	0
"b0035"	0	0	0	0
"b0036"	0	0	0	0
"b0037"	0	0	0	0
"b0038"	0	0	0.319471552123136	0
"b0039"	1.02458836531343	0	0.958414656369409	1.03480638541552
"b0040"	0	0	0	0
"b0041"	0	0	0	0
"b0042"	0	0	0	1.03480638541552
"b0043"	0	0	0.319471552123136	0
"b0044"	0	0	0	0
"b0045"	0	0	0	1.03480638541552
"b0046"	0	0	0.958414656369409	0
"b0047"	2.04917673062686	0	0.319471552123136	1.03480638541552
"b0048"	9.22129528782087	8.01554546429675	9.90361811581722	10.3480638541552
"b0049"	0	0	0.319471552123136	0
"b0050"	0	0	0.319471552123136	0
"b0051"	1.02458836531343	0	2.55577241698509	0
"b0052"	0	0	1.91682931273882	3.10441915624655
"b0053"	7.17211855719401	13.3592424404946	11.5009758764329	10.3480638541552
"b0054"	15.3688254797015	10.6873939523957	12.7788620849254	12.4176766249862
"b0055"	1.02458836531343	0	1.27788620849254	0
"b0056"	0	0	0.638943104246272	0
"b0057"	0	0	0	0
"b0058"	1.02458836531343	0	0.638943104246272	0
"b0059"	8.19670692250744	0	3.5141870733545	4.13922554166207
"b0060"	1.02458836531343	2.67184848809892	0	3.10441915624655
"b0061"	0	0	0	0
"b0062"	0	0	0	0
"b0063"	0	0	0	0
"b0064"	0	0	0	2.06961277083104
"b0065"	2.04917673062686	0	1.27788620849254	5.17403192707759
"b0066"	0	0	0	0
"b0067"	4.09835346125372	0	2.23630086486195	7.24364469790863
"b0068"	5.12294182656715	10.6873939523957	9.90361811581722	13.4524830104017
"b0069"	0	0	0	0
"b0070"	0	0	4.15313017760077	2.06961277083104
"b0071"	24.5901207675223	16.0310909285935	16.2930491582799	19.6613213228948
"b0072"	66.598243745373	53.4369697619783	23.0019517528658	23.8005468645569
"b0073"	31.7622393247163	26.7184848809892	21.085122440127	11.3828702395707
"b0074"	25.6147091328358	26.7184848809892	23.3214233049889	15.5220957812328
"b0075"	1.02458836531343	2.67184848809892	1.27788620849254	0
"b0076"	0	0	0.319471552123136	0
"b0077"	2.04917673062686	5.34369697619783	6.38943104246272	5.17403192707759
"b0078"	1.02458836531343	0	0.319471552123136	0
"b0080"	5.12294182656715	0	5.11154483397018	4.13922554166207
"b0081"	9.22129528782087	2.67184848809892	13.7372767412949	15.5220957812328
"b0082"	15.3688254797015	13.3592424404946	14.3762198455411	14.4872893958173
"b0083"	1.02458836531343	0	3.83365862547763	1.03480638541552
"b0084"	4.09835346125372	0	2.87524396910823	3.10441915624655
"b0085"	0	0	1.27788620849254	0
"b0086"	0	0	1.91682931273882	3.10441915624655
"b0087"	5.12294182656715	2.67184848809892	4.15313017760077	4.13922554166207
"b0088"	2.04917673062686	0	4.79207328184704	6.20883831249311
"b0089"	1.02458836531343	0	4.47260172972391	6.20883831249311
"b0090"	2.04917673062686	2.67184848809892	2.87524396910823	5.17403192707759
"b0091"	5.12294182656715	0	6.06995949033959	13.4524830104017
"b0092"	6.14753019188058	2.67184848809892	7.98678880307841	9.31325746873966
"b0093"	2.04917673062686	0	7.98678880307841	9.31325746873966
"b0094"	14.344237114388	8.01554546429675	24.2798379613584	23.8005468645569
"b0095"	75.8195390331938	85.4991516191653	116.607116524945	139.698862031095
"b0096"	336.064983822805	267.184848809892	310.845820215812	345.625332728783
"b0097"	1.02458836531343	2.67184848809892	1.91682931273882	5.17403192707759
"b0098"	8.19670692250744	18.7029394166924	6.38943104246272	5.17403192707759
"b0099"	0	0	0	0
"b0101"	0	0	1.59735776061568	1.03480638541552
"b0102"	4.09835346125372	5.34369697619783	5.11154483397018	1.03480638541552
"b0103"	2.04917673062686	0	2.55577241698509	3.10441915624655
"b0104"	3.07376509594029	10.6873939523957	6.06995949033959	2.06961277083104
"b0106"	0	0	0.319471552123136	0
"b0107"	0	0	0	0
"b0108"	0	0	0	0
"b0109"	5.12294182656715	2.67184848809892	0.958414656369409	1.03480638541552
"b0110"	1.02458836531343	0	2.55577241698509	0
"b0111"	0	0	1.27788620849254	1.03480638541552
"b0112"	5.12294182656715	5.34369697619783	8.94520345944781	4.13922554166207
"b0113"	15.3688254797015	5.34369697619783	14.3762198455411	21.7309340937259
"b0114"	109.630955088537	90.8428485953631	105.425612200635	101.411025770721
"b0115"	53.2785949962984	53.4369697619783	37.3781715984069	34.1486107187121
"b0116"	50.2048299003581	37.4058788333848	72.8395138840751	44.4966745728673
"b0117"	0	0	0	0
"b0118"	52.254006630985	61.4525152262751	65.1721966331198	71.4016405936707
